,prototype,spacegroup_orig,spacegroup_relax,Egap,Egap_fit,compound
0,"Ge1S2_ICSD_44
",7,7,2.229,3.91769,Ge12S24
1,"Ga1S1_ICSD_654685
",194,194,1.623,3.1008,Ga4S4
2,"Ga1S1_ICSD_53586
",194,194,1.7769,3.30826,Ga4S4
3,"Ga1S1_ICSD_635244
",194,194,1.6813,3.17939,Ga4S4
4,"Ga1S1_ICSD_173941
",194,194,1.71,3.21808,Ga4S4
5,"Ga1S1_ICSD_53590
",194,194,1.8238,3.37148,Ga4S4
6,"Ga1S1_ICSD_59
",194,194,1.7055,3.21201,Ga4S4
7,"Ga1S1_ICSD_635251
",194,194,1.6732,3.16847,Ga4S4
8,"Ga1S1_ICSD_173940
",194,194,1.6755,3.17157,Ga4S4
9,"Ga1S1_ICSD_167394
",194,194,1.5988,3.06818,Ga4S4
10,"Ga1S1_ICSD_53587
",194,194,1.6565,3.14596,Ga4S4
11,"Ga1S1_ICSD_658768
",194,194,1.6656,3.15823,Ga4S4
12,"Ga1S1_ICSD_635254
",194,194,1.7785,3.31042,Ga4S4
13,"Ga1S1_ICSD_25660
",194,194,1.6448,3.13019,Ga4S4
14,"Ga1S1_ICSD_53588
",194,194,1.8344,3.38577,Ga4S4
15,"Ga1S1_ICSD_53589
",194,194,1.8061,3.34762,Ga4S4
16,"Ga1S1_ICSD_201345
",194,194,1.71,3.21808,Ga4S4
17,"Ga1S1_ICSD_201344
",194,194,1.6755,3.17157,Ga4S4
18,"Mg1P4_ICSD_42030
",14,14,0.6907,1.84406,Mg2P8
19,"Mg1P4_ICSD_113
",14,14,0.6819,1.8322,Mg2P8
20,"Mg1P4_ICSD_23555
",14,14,0.6833,1.83409,Mg2P8
21,"Ba1Ni1O3_ICSD_175
",194,194,1.4486,2.86571,Ba2Ni2O6
22,"Ba1Ni1O3_ICSD_30661
",194,194,1.4432,2.85843,Ba2Ni2O6
23,"Ba1Ni1O3_ICSD_15761
",186,186,1.4566,2.8765,Ba2Ni2O6
24,"Fe1I3O9_ICSD_286
",173,173,2.4042,4.15386,Fe2I6O18
25,"Fe1I3O9_ICSD_154674
",173,173,2.3775,4.11787,Fe2I6O18
26,"Ca2H1N1_ICSD_292
",227,227,1.6384,3.12156,Ca8H4N4
27,"Cd1N2O6_ICSD_297
",29,29,3.451,5.56495,Cd8N16O48
28,"Fe1S2_ICSD_316
",205,205,2.0171,3.63205,Fe4S8
29,"Fe1S2_ICSD_633254
",205,205,2.0187,3.63421,Fe4S8
30,"Fe1S2_ICSD_633293
",205,205,2.017,3.63192,Fe4S8
31,"Fe1S2_ICSD_633287
",205,205,2.0338,3.65456,Fe4S8
32,"Fe1S2_ICSD_41401
",29,205,2.0245,3.64203,Fe4S8
33,"Fe1S2_ICSD_43716
",205,205,2.0211,3.63744,Fe4S8
34,"Fe1S2_ICSD_633289
",205,205,2.0113,3.62423,Fe4S8
35,"Fe1S2_ICSD_10422
",1,205,2.029,3.64809,Fe4S8
36,"Fe1S2_ICSD_656511
",205,205,2.0165,3.63124,Fe4S8
37,"Fe1S2_ICSD_53529
",205,205,2.0174,3.63246,Fe4S8
38,"Fe1S2_ICSD_15012
",205,205,2.0196,3.63542,Fe4S8
39,"Fe1S2_ICSD_633273
",205,205,2.0217,3.63825,Fe4S8
40,"Fe1S2_ICSD_633270
",205,205,2.0169,3.63178,Fe4S8
41,"Fe1S2_ICSD_633288
",205,205,2.0322,3.65241,Fe4S8
42,"Fe1S2_ICSD_53935
",205,205,2.019,3.63461,Fe4S8
43,"Fe1S2_ICSD_41995
",205,205,2.0284,3.64728,Fe4S8
44,"Fe1S2_ICSD_52372
",205,205,2.0176,3.63272,Fe4S8
45,"Fe1S2_ICSD_109377
",205,205,2.0173,3.63232,Fe4S8
46,"Fe1S2_ICSD_633274
",205,205,2.0165,3.63124,Fe4S8
47,"Fe2Ge1S4_ICSD_23526
",62,62,1.4034,2.80478,Fe8Ge4S16
48,"La1P5_ICSD_357
",11,11,0.0977,1.0447,La4P20
49,"As4S4_ICSD_360
",2,2,0.1705,1.14283,As16S16
50,"As4S4_ICSD_153279
",14,14,2.3827,4.12488,As16S16
51,"As4S4_ICSD_185033
",14,14,1.055,2.33514,As16S16
52,"As4S4_ICSD_185766
",14,14,2.3715,4.10978,As16S16
53,"As4S4_ICSD_185786
",14,14,2.3576,4.09104,As16S16
54,"As4S4_ICSD_80125
",14,14,2.0643,3.69568,As16S16
55,"As4S4_ICSD_185771
",14,14,2.3335,4.05856,As16S16
56,"As4S4_ICSD_185782
",14,14,2.3952,4.14173,As16S16
57,"As4S4_ICSD_185767
",14,14,2.3524,4.08404,As16S16
58,"As4S4_ICSD_185038
",14,14,0.9746,2.22676,As16S16
59,"As4S4_ICSD_185037
",14,14,0.996,2.25561,As16S16
60,"As4S4_ICSD_185780
",14,14,2.3445,4.07339,As16S16
61,"As4S4_ICSD_185770
",14,14,2.3786,4.11935,As16S16
62,"As4S4_ICSD_185783
",14,14,2.3951,4.14159,As16S16
63,"As1S1_ICSD_180621
",14,14,1.952,3.5443,As16S16
64,"As4S4_ICSD_173406
",14,14,2.1014,3.74569,As16S16
65,"As4S4_ICSD_185039
",14,14,0.1811,1.15712,As16S16
66,"As4S4_ICSD_185035
",14,14,0.0,0.0,As16S16
67,"As4S4_ICSD_153278
",14,14,2.3726,4.11126,As16S16
68,"As4S4_ICSD_173405
",14,14,2.1115,3.7593,As16S16
69,"As4S4_ICSD_185774
",14,14,2.3802,4.12151,As16S16
70,"As4S4_ICSD_153281
",14,14,2.3554,4.08808,As16S16
71,"As4S4_ICSD_185032
",14,14,2.3811,4.12272,As16S16
72,"As4S4_ICSD_185781
",14,14,2.3696,4.10722,As16S16
73,"As4S4_ICSD_185772
",14,14,2.3709,4.10897,As16S16
74,"As4S4_ICSD_185778
",14,14,2.38,4.12124,As16S16
75,"As4S4_ICSD_185776
",14,14,2.3743,4.11356,As16S16
76,"As4S4_ICSD_185777
",14,14,2.3715,4.10978,As16S16
77,"As4S4_ICSD_185773
",14,14,2.3974,4.1447,As16S16
78,"As4S4_ICSD_185765
",14,14,2.3895,4.13405,As16S16
79,"As4S4_ICSD_185768
",14,14,2.3902,4.13499,As16S16
80,"As4S4_ICSD_153277
",14,14,2.3931,4.1389,As16S16
81,"As4S4_ICSD_185769
",14,14,2.3869,4.13054,As16S16
82,"As1S1_ICSD_15238
",14,14,2.3932,4.13903,As16S16
83,"As4S4_ICSD_185775
",14,14,2.3644,4.10021,As16S16
84,"As4S4_ICSD_153280
",14,14,2.4016,4.15036,As16S16
85,"As4S4_ICSD_185779
",14,14,2.3889,4.13324,As16S16
86,"As4S4_ICSD_185036
",14,14,0.0,0.0,As16S16
87,"As4S4_ICSD_185788
",14,14,2.4063,4.15669,As16S16
88,"As4S4_ICSD_185784
",14,14,2.3432,4.07163,As16S16
89,"As4S4_ICSD_173404
",14,14,2.1934,3.8697,As16S16
90,"Ba1Ga2Ge2O8_ICSD_1445
",15,15,2.9339,4.8679,Ba4Ga8Ge8O32
91,"Ba1Ga2Ge2O8_ICSD_616
",15,15,2.9479,4.88677,Ba4Ga8Ge8O32
92,"Ag1N1O3_ICSD_374
",161,161,2.3493,4.07986,Ag2N2O6
93,"K1N1O3_ICSD_260602
",160,160,2.9795,4.92937,K1N1O3
94,"K1N1O3_ICSD_384
",160,160,2.9775,4.92667,K1N1O3
95,"K1N1O3_ICSD_260601
",160,160,2.9665,4.91184,K1N1O3
96,"K1N1O3_ICSD_71398
",160,160,2.9809,4.93125,K1N1O3
97,"Dy2Se3_ICSD_630257
",62,62,0.3625,1.40165,Dy8Se12
98,"Dy2Se3_ICSD_419
",62,62,0.3643,1.40408,Dy8Se12
99,"Dy2Se3_ICSD_630253
",62,62,0.3619,1.40084,Dy8Se12
100,"Li1Nb1O2_ICSD_42008
",194,194,1.6666,3.15958,Li2Nb2O4
101,"Li1Nb1O2_ICSD_451
",194,194,1.6543,3.143,Li2Nb2O4
102,"Li1Nb1O2_ICSD_75880
",194,194,1.6611,3.15216,Li2Nb2O4
103,"Li1Nb1O2_ICSD_73110
",194,194,1.6577,3.14758,Li2Nb2O4
104,"Li1Nb1O2_ICSD_73109
",194,194,1.6575,3.14731,Li2Nb2O4
105,"Li1Nb1O2_ICSD_300243
",194,194,1.6572,3.14691,Li2Nb2O4
106,"Ga2S3_ICSD_488
",9,9,1.9808,3.58312,Ga4S6
107,"Ga2S3_ICSD_34647
",9,9,1.7363,3.25353,Ga4S6
108,"Ga2S3_ICSD_635243
",9,9,1.7241,3.23709,Ga4S6
109,"Ga2S3_ICSD_409550
",9,9,1.7458,3.26634,Ga4S6
110,"In2Te5_ICSD_640615
",9,9,0.84,2.04532,In4Te10
111,"In2Te5_ICSD_501
",9,9,0.8397,2.04492,In4Te10
112,"Ge1Se2_ICSD_637861
",14,14,1.3927,2.79036,Ge16Se32
113,"Ge1Se2_ICSD_614
",14,14,1.4085,2.81166,Ge16Se32
114,"Ge1Se2_ICSD_637856
",14,14,1.4079,2.81085,Ge16Se32
115,"Ba1Ga2Ge2O8_ICSD_1445
",15,15,2.9339,4.8679,Ba4Ga8Ge8O32
116,"Ba1Ga2Ge2O8_ICSD_616
",15,15,2.9479,4.88677,Ba4Ga8Ge8O32
117,"Ge1Pt1Se1_ICSD_637651
",29,29,0.5377,1.63782,Ge4Pt4Se4
118,"Ge1Pt1Se1_ICSD_2595
",29,29,0.5409,1.64213,Ge4Pt4Se4
119,"Ge1Pt1Se1_ICSD_822
",29,29,0.5485,1.65238,Ge4Pt4Se4
120,"Ag1C2N3_ICSD_843
",152,152,3.8029,6.03931,Ag3C6N9
121,"Li1Te3_ICSD_935
",165,165,0.1547,1.12154,Li12Te36
122,"As2O5_ICSD_654040
",19,19,1.4359,2.84859,As8O20
123,"As2O5_ICSD_987
",19,19,1.4523,2.8707,As8O20
124,"As2O5_ICSD_10015
",92,92,1.3473,2.72916,As8O20
125,"P2Ru1_ICSD_42607
",58,58,0.4623,1.53618,P4Ru2
126,"P2Ru1_ICSD_648022
",58,58,0.4629,1.53699,P4Ru2
127,"P2Ru1_ICSD_648016
",58,58,0.4628,1.53685,P4Ru2
128,"P2Ru1_ICSD_42737
",58,58,0.462,1.53578,P4Ru2
129,"P2Ru1_ICSD_992
",58,58,0.4636,1.53793,P4Ru2
130,"As2Ru1_ICSD_611294
",58,58,0.4798,1.55977,As4Ru2
131,"As2Ru1_ICSD_611289
",58,58,0.4795,1.55937,As4Ru2
132,"As2Ru1_ICSD_994
",58,58,0.4795,1.55937,As4Ru2
133,"As2Ru1_ICSD_42578
",58,58,0.4776,1.5568,As4Ru2
134,"As2Os1_ICSD_611138
",58,58,0.8907,2.11366,As4Os2
135,"As2Os1_ICSD_611135
",58,58,0.8907,2.11366,As4Os2
136,"As2Os1_ICSD_42610
",58,58,0.892,2.11542,As4Os2
137,"As2Os1_ICSD_995
",58,58,0.8904,2.11326,As4Os2
138,"Cs2S1_ICSD_183207
",62,62,2.1025,3.74717,Cs8S4
139,"Cs2S1_ICSD_1030
",62,62,2.0952,3.73733,Cs8S4
140,"K0.33Mo1O3_ICSD_1053
",12,12,0.7313,1.89879,K2Mo6O18
141,"Ga2Te5_ICSD_635505
",87,87,0.8725,2.08913,Ga2Te5
142,"Ga2Te5_ICSD_32034
",87,87,0.8877,2.10962,Ga2Te5
143,"Ga2Te5_ICSD_1085
",87,87,0.8878,2.10975,Ga2Te5
144,"Ca1H2_ICSD_23870
",62,62,3.0172,4.98019,Ca4H8
145,"Ca1H2_ICSD_155987
",62,62,3.0227,4.9876,Ca4H8
146,"Ca1H2_ICSD_619336
",62,62,3.0135,4.9752,Ca4H8
147,"Ca1H2_ICSD_260873
",62,62,3.0131,4.97466,Ca4H8
148,"Ca1H2_ICSD_261185
",62,62,3.0279,4.99461,Ca4H8
149,"Ca1H2_ICSD_261635
",62,62,3.0119,4.97304,Ca4H8
150,"Ca1H2_ICSD_157944
",62,62,3.029,4.99609,Ca4H8
151,"Ca1H2_ICSD_261636
",62,62,3.0266,4.99286,Ca4H8
152,"Ba1Br1F1_ICSD_35393
",129,129,4.8809,7.49245,Ba2Br2F2
153,"Ba1Br1F1_ICSD_2294
",129,129,4.8782,7.48881,Ba2Br2F2
154,"Ba1Br1F1_ICSD_1129
",129,129,4.8879,7.50189,Ba2Br2F2
155,"Ba1Br1F1_ICSD_155005
",129,129,4.8669,7.47358,Ba2Br2F2
156,"Ca1Cl1F1_ICSD_1130
",129,129,5.6615,8.5447,Ca2Cl2F2
157,"Ba2Mn1Te3_ICSD_1151
",62,62,1.2878,2.64895,Ba8Mn4Te12
158,"Ba2Mn1Te3_ICSD_603235
",62,62,1.2736,2.62981,Ba8Mn4Te12
159,"Ag1Au1Cl4_ICSD_1152
",15,15,1.2518,2.60043,Ag2Au2Cl8
160,"Ga1H1O2_ICSD_409671
",62,62,2.9643,4.90888,Ga4H4O8
161,"K6Si2Te6_ICSD_1238
",12,12,1.7119,3.22064,K6Si2Te6
162,"Ge1S1_ICSD_637785
",62,62,1.1957,2.5248,Ge4S4
163,"Ge1S1_ICSD_637787
",62,62,1.208,2.54138,Ge4S4
164,"Ge1S1_ICSD_653896
",62,62,1.2001,2.53073,Ge4S4
165,"Ge1S1_ICSD_1256
",59,59,0.0,0.0,Ge4S4
166,"Ge1S1_ICSD_38165
",59,59,0.076,1.01545,Ge4S4
167,"K2S3_ICSD_1263
",36,36,1.2573,2.60784,K4S6
168,"K2Se3_ICSD_1264
",36,36,0.6304,1.76278,K4Se6
169,"Bi1F3_ICSD_25567
",215,215,3.9619,6.25364,Bi4F12
170,"Bi1F3_ICSD_9015
",62,62,4.672,7.21086,Bi4F12
171,"Bi1F3_ICSD_1269
",62,62,4.686,7.22973,Bi4F12
172,"Ca1Cu3Ge4O12_ICSD_1303
",204,204,1.8201,3.36649,Ca1Cu3Ge4O12
173,"Ca1Cu3Ge4O12_ICSD_184279
",204,204,1.8098,3.35261,Ca1Cu3Ge4O12
174,"Ca1Cr1H2O5_ICSD_1310
",61,61,2.8855,4.80265,Ca8Cr8H16O40
175,"Ag2Br1N1O3_ICSD_1311
",62,62,2.4024,4.15144,Ag8Br4N4O12
176,"B2H6_ICSD_1312
",2,2,5.1546,7.8614,B4H12
177,"B2H6_ICSD_15598
",2,2,5.183,7.89968,B4H12
178,"B2H6_ICSD_413919
",14,14,5.0009,7.65421,B4H12
179,"Mg1Mo2O7_ICSD_1314
",14,14,3.5087,5.64273,Mg4Mo8O28
180,"Ca1I2O6_ICSD_1391
",14,14,1.277,2.6344,Ca4I8O24
181,"Cd1I2O6_ICSD_1397
",19,19,3.2775,5.33107,Cd4I8O24
182,"La1S2_ICSD_1435
",62,62,0.4724,1.5498,La8S16
183,"La1S2_ICSD_418405
",62,62,0.4696,1.54602,La8S16
184,"La1S2_ICSD_659874
",62,62,0.4713,1.54831,La8S16
185,"La1S2_ICSD_656243
",33,62,0.0,0.0,La8S16
186,"Fe1H1O2_ICSD_24885
",63,63,1.9107,3.48862,Fe2H2O4
187,"Fe1H1O2_ICSD_1544
",36,63,0.8163,2.01337,Fe2H2O4
188,"Fe1H1O2_ICSD_1545
",36,36,0.8144,2.01081,Fe2H2O4
189,"Bi1I1_ICSD_1558
",12,12,0.7103,1.87048,Bi8I8
190,"Bi1I1_ICSD_1559
",12,12,0.7022,1.85957,Bi4I4
191,"Bi1Br1_ICSD_1560
",12,12,0.6807,1.83058,Bi8Br8
192,"Ag1N1O3_ICSD_1685
",19,19,2.605,4.42454,Ag8N8O24
193,"Ag1N1O3_ICSD_28103
",61,61,2.5918,4.40675,Ag8N8O24
194,"Ag1N1O3_ICSD_26638
",61,61,2.6111,4.43276,Ag8N8O24
195,"Ag1N1O3_ICSD_201605
",61,61,2.5702,4.37763,Ag8N8O24
196,"In1P1S4_ICSD_640195
",82,82,2.4203,4.17556,In1P1S4
197,"In1P1S4_ICSD_1699
",82,82,2.4161,4.1699,In1P1S4
198,"In1P1S4_ICSD_23612
",82,82,2.3877,4.13162,In1P1S4
199,"P4S4_ICSD_1703
",15,15,2.5122,4.29945,P8S8
200,"P4S4_ICSD_2302
",15,15,2.4072,4.15791,P8S8
201,"Ag4P2Se6_ICSD_1727
",19,19,1.0749,2.36197,Ag16P8Se24
202,"Mn1P4_ICSD_1829
",15,15,1.0771,2.36493,Mn8P32
203,"In1Se1_ICSD_41477
",160,160,0.3603,1.39868,In2Se2
204,"In1Se1_ICSD_2308
",160,160,0.3373,1.36768,In2Se2
205,"In1Se1_ICSD_640505
",160,160,0.3509,1.38601,In2Se2
206,"In1Se1_ICSD_640507
",160,160,0.3384,1.36916,In2Se2
207,"In1Se1_ICSD_1884
",160,160,0.3095,1.33021,In2Se2
208,"In1Se1_ICSD_640483
",160,160,0.3677,1.40866,In2Se2
209,"In1Se1_ICSD_23002
",160,160,0.3269,1.35366,In2Se2
210,"In1Se1_ICSD_640479
",160,160,0.3867,1.43427,In2Se2
211,"In1Se1_ICSD_71083
",12,12,0.9904,2.24806,In2Se2
212,"Ag1I1_ICSD_1899
",186,186,2.0867,3.72587,Ag4I4
213,"Ag1I1_ICSD_52361
",216,216,1.9779,3.57921,Ag4I4
214,"H7N1O6_ICSD_1902
",19,19,3.5736,5.73021,H28N4O24
215,"Bi1P1S4_ICSD_1942
",73,73,1.4836,2.91289,Bi8P8S32
216,"Ge1S2_ICSD_85527
",142,142,2.1594,3.82387,Ge16S32
217,"Ge1S2_ICSD_1947
",14,14,2.2302,3.91931,Ge16S32
218,"P4S5_ICSD_60647
",4,4,2.4522,4.21857,P8S10
219,"P4S5_ICSD_16681
",4,4,2.4544,4.22153,P8S10
220,"P4S5_ICSD_1995
",11,11,2.454,4.22099,P8S10
221,"P4S5_ICSD_23841
",4,4,2.4452,4.20913,P8S10
222,"Ga1Se1_ICSD_2002
",186,186,0.9481,2.19104,Ga8Se8
223,"Ba1S2_ICSD_23639
",15,15,1.5779,3.04001,Ba2S4
224,"Ba1S2_ICSD_2004
",15,15,1.577,3.0388,Ba2S4
225,"Ba1S2_ICSD_42134
",15,15,1.5733,3.03381,Ba2S4
226,"As4Se4_ICSD_2056
",14,14,0.1059,1.05575,As16Se16
227,"As4Se4_ICSD_2626
",14,14,0.1767,1.15119,As16Se16
228,"As4Se4_ICSD_2599
",14,14,1.3999,2.80007,As16Se16
229,"As4Se4_ICSD_16106
",14,14,1.0613,2.34363,As16Se16
230,"Ca5Sb3_ICSD_2065
",62,62,0.4206,1.47997,Ca20Sb12
231,"Ca5Sb3_ICSD_619564
",62,62,0.4232,1.48347,Ca20Sb12
232,"Sb2Te3_ICSD_651638
",166,166,0.0,0.0,Sb2Te3
233,"Sb2Te3_ICSD_185948
",166,166,0.0381,0.964359,Sb2Te3
234,"Sb2Te3_ICSD_185945
",166,166,0.0547,0.986736,Sb2Te3
235,"Sb2Te3_ICSD_187495
",166,166,0.1202,1.07503,Sb2Te3
236,"Sb2Te3_ICSD_2084
",166,166,0.0445,0.972986,Sb2Te3
237,"Sb2Te3_ICSD_185946
",166,166,0.0686,1.00547,Sb2Te3
238,"Sb2Te3_ICSD_185951
",166,166,0.0479,0.977569,Sb2Te3
239,"Sb2Te3_ICSD_651635
",166,166,0.0,0.0,Sb2Te3
240,"Sb2Te3_ICSD_20236
",166,166,0.107,1.05724,Sb2Te3
241,"Sb2Te3_ICSD_185947
",166,166,0.0,0.0,Sb2Te3
242,"Sb2Te3_ICSD_262171
",166,166,0.0335,0.958158,Sb2Te3
243,"Sb2Te3_ICSD_187536
",166,166,0.0891,1.03311,Sb2Te3
244,"Sb2Te3_ICSD_651629
",166,166,0.0,0.0,Sb2Te3
245,"Sb2Te3_ICSD_185950
",166,166,0.0,0.0,Sb2Te3
246,"Sb2Te3_ICSD_185949
",166,166,0.0436,0.971773,Sb2Te3
247,"Sb2Te3_ICSD_185952
",166,166,0.0323,0.95654,Sb2Te3
248,"Sb2Te3_ICSD_87415
",191,191,0.0,0.0,Sb2Te3
249,"Ge1Pb1S3_ICSD_2090
",14,14,1.7519,3.27456,Ge4Pb4S12
250,"S8_ICSD_391460
",70,70,0.0,0.0,S32
251,"S8_ICSD_27840
",70,70,1.8756,3.44131,S32
252,"S8_ICSD_38147
",70,70,1.5194,2.96115,S32
253,"S8_ICSD_43251
",70,70,0.0,0.0,S32
254,"S8_ICSD_66517
",13,13,2.7519,4.62256,S32
255,"S16_ICSD_38264
",15,15,1.4742,2.90022,S32
256,"As2O3_ICSD_2114
",227,227,4.0195,6.33129,As8O12
257,"As2O3_ICSD_409611
",227,227,4.0209,6.33317,As8O12
258,"As2O3_ICSD_183098
",227,227,4.0255,6.33937,As8O12
259,"As4O6_ICSD_36144
",227,227,4.021,6.33331,As8O12
260,"As2O3_ICSD_240404
",227,227,4.0191,6.33075,As8O12
261,"As2O3_ICSD_24227
",227,227,4.0247,6.3383,As8O12
262,"As2O3_ICSD_16850
",227,227,4.0171,6.32805,As8O12
263,"As2O3_ICSD_100434
",14,14,2.9038,4.82732,As8O12
264,"As2O3_ICSD_27588
",14,14,3.8947,6.16306,As8O12
265,"As2O3_ICSD_183097
",27,27,0.0,0.0,As8O12
266,"As2O3_ICSD_183096
",86,86,3.7214,5.92945,As8O12
267,"C5N4_ICSD_2130
",161,161,5.9311,8.90812,C10N8
268,"Mg3Sb2_ICSD_52335
",164,164,0.2136,1.20093,Mg3Sb2
269,"Mg3Sb2_ICSD_642808
",164,164,0.213,1.20012,Mg3Sb2
270,"Mg3Sb2_ICSD_181284
",164,164,0.2369,1.23234,Mg3Sb2
271,"Mg3Sb2_ICSD_642809
",164,164,0.2138,1.2012,Mg3Sb2
272,"Mg3Sb2_ICSD_245692
",164,164,0.2313,1.22479,Mg3Sb2
273,"Mg3Sb2_ICSD_2142
",164,164,0.2095,1.19541,Mg3Sb2
274,"Mg3Sb2_ICSD_165386
",164,164,0.1971,1.17869,Mg3Sb2
275,"Ba1Cl2_ICSD_2190
",189,189,4.5703,7.07376,Ba3Cl6
276,"Ba1Cl2_ICSD_2191
",225,225,5.4354,8.23992,Ba1Cl2
277,"Cr1Hg1O4_ICSD_416148
",14,14,1.0803,2.36924,Cr4Hg4O16
278,"Cr1Hg1O4_ICSD_2224
",14,14,1.2597,2.61108,Cr4Hg4O16
279,"Cu1I2O6_ICSD_4327
",4,4,1.6826,3.18114,Cu2I4O12
280,"Cu1I2O6_ICSD_2232
",11,11,1.7138,3.2232,Cu2I4O12
281,"H4N4_ICSD_98106
",53,53,4.1653,6.52782,H16N16
282,"H4N4_ICSD_290468
",53,53,4.1298,6.47997,H16N16
283,"H4N4_ICSD_412428
",53,53,3.5944,5.75825,H16N16
284,"H4N4_ICSD_2236
",53,53,4.1562,6.51556,H16N16
285,"H4N4_ICSD_412211
",53,53,4.1507,6.50814,H16N16
286,"Be1P2_ICSD_2262
",15,15,0.8341,2.03737,Be8P16
287,"Cd1Ga2S4_ICSD_106362
",82,82,2.201,3.87995,Cd1Ga2S4
288,"Cd1Ga2S4_ICSD_31354
",82,82,2.2009,3.87981,Cd1Ga2S4
289,"Cd1Ga2S4_ICSD_619873
",82,82,2.1861,3.85986,Cd1Ga2S4
290,"Cd1Ga2S4_ICSD_52801
",82,82,2.2208,3.90664,Cd1Ga2S4
291,"Cd1Ga2S4_ICSD_619872
",82,82,2.2109,3.89329,Cd1Ga2S4
292,"Cd1Ga2S4_ICSD_184995
",82,82,2.2063,3.88709,Cd1Ga2S4
293,"Cd1Ga2S4_ICSD_25642
",82,82,2.2084,3.88992,Cd1Ga2S4
294,"Cd1Ga2S4_ICSD_619878
",82,82,2.1856,3.85919,Cd1Ga2S4
295,"Cd1Ga2S4_ICSD_2286
",82,82,2.2114,3.89397,Cd1Ga2S4
296,"Cd1Ga2S4_ICSD_619875
",82,82,2.2096,3.89154,Cd1Ga2S4
297,"Cd1Ga2Se4_ICSD_2287
",82,82,1.4112,2.8153,Cd1Ga2Se4
298,"Cd1Ga2Se4_ICSD_163949
",82,82,1.4062,2.80856,Cd1Ga2Se4
299,"Cd1Ga2Se4_ICSD_619895
",82,82,1.4113,2.81543,Cd1Ga2Se4
300,"Cd1Ga2Se4_ICSD_619900
",82,82,1.409,2.81233,Cd1Ga2Se4
301,"Cd1Ga2Se4_ICSD_30908
",82,82,1.4134,2.81826,Cd1Ga2Se4
302,"Cd1Ga2Se4_ICSD_93761
",82,82,1.4142,2.81934,Cd1Ga2Se4
303,"Cd1Ga2Se4_ICSD_25644
",82,82,1.4232,2.83147,Cd1Ga2Se4
304,"Cd1Ga2Se4_ICSD_184996
",82,82,1.4194,2.82635,Cd1Ga2Se4
305,"Cd1Ga2Se4_ICSD_619889
",82,82,1.4168,2.82285,Cd1Ga2Se4
306,"Cd1Ga2Se4_ICSD_52802
",82,82,1.411,2.81503,Cd1Ga2Se4
307,"Cd1Ga2Se4_ICSD_619892
",82,82,1.4142,2.81934,Cd1Ga2Se4
308,"P1Pd1S1_ICSD_2331
",60,60,1.2319,2.5736,P8Pd8S8
309,"K6Mg1O4_ICSD_2340
",186,186,1.6816,3.1798,K12Mg2O8
310,"Ba1Cl1F1_ICSD_201516
",129,129,5.4503,8.26,Ba2Cl2F2
311,"Ba1Cl1F1_ICSD_35487
",129,129,5.4503,8.26,Ba2Cl2F2
312,"Ba1Cl1F1_ICSD_35490
",129,129,5.4459,8.25407,Ba2Cl2F2
313,"Ba1Cl1F1_ICSD_35491
",129,129,5.4433,8.25057,Ba2Cl2F2
314,"Ba1Cl1F1_ICSD_201518
",129,129,5.4495,8.25893,Ba2Cl2F2
315,"Ba1Cl1F1_ICSD_201519
",129,129,5.4436,8.25097,Ba2Cl2F2
316,"Ba1Cl1F1_ICSD_155004
",129,129,5.4534,8.26418,Ba2Cl2F2
317,"Ba1Cl1F1_ICSD_35492
",129,129,5.4409,8.24733,Ba2Cl2F2
318,"Ba1Cl1F1_ICSD_201515
",129,129,5.4505,8.26027,Ba2Cl2F2
319,"Ba1Cl1F1_ICSD_35489
",129,129,5.4471,8.25569,Ba2Cl2F2
320,"Ba1Cl1F1_ICSD_35488
",129,129,5.4407,8.24706,Ba2Cl2F2
321,"Ba1Cl1F1_ICSD_201514
",129,129,5.4515,8.26162,Ba2Cl2F2
322,"Ba1Cl1F1_ICSD_85319
",129,129,5.4467,8.25515,Ba2Cl2F2
323,"Ba1Cl1F1_ICSD_201517
",129,129,5.45,8.2596,Ba2Cl2F2
324,"Ba1Cl1F1_ICSD_35493
",129,129,5.4436,8.25097,Ba2Cl2F2
325,"Ba1Cl1F1_ICSD_2350
",129,129,5.4504,8.26014,Ba2Cl2F2
326,"Bi2O3_ICSD_183150
",159,159,1.6141,3.08881,Bi8O12
327,"Bi2O3_ICSD_169685
",159,159,1.6116,3.08544,Bi8O12
328,"Bi2O3_ICSD_421855
",159,159,1.5887,3.05457,Bi8O12
329,"Bi2O3_ICSD_168811
",227,227,2.5915,4.40634,Bi8O12
330,"Bi2O3_ICSD_2374
",14,14,2.2644,3.96541,Bi8O12
331,"Bi2O3_ICSD_616890
",14,14,2.3008,4.01448,Bi8O12
332,"Bi2O3_ICSD_168567
",14,14,2.2779,3.98361,Bi8O12
333,"Bi2O3_ICSD_260800
",14,14,2.2694,3.97215,Bi8O12
334,"Bi2O3_ICSD_94229
",14,14,2.2634,3.96406,Bi8O12
335,"Bi2O3_ICSD_94231
",14,14,2.2551,3.95287,Bi8O12
336,"Bi2O3_ICSD_168806
",14,14,2.2507,3.94694,Bi8O12
337,"Bi2O3_ICSD_94230
",14,14,2.2565,3.95476,Bi8O12
338,"Bi2O3_ICSD_15072
",14,14,2.2786,3.98455,Bi8O12
339,"Bi2O3_ICSD_261777
",56,56,2.3139,4.03214,Bi8O12
